"","Country","ISO","Scenario","Value","dose_information_Intro","dose_information_NVax","severity","coverage","path"
"14","Ethiopia","ETH","all_1_6_10_cov_curr","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","current_coverage","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_curr"
"15","Ethiopia","ETH","all_10_14_cov_50","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","50%","./input/country_select/all_uses_10_14/all_10_14_cov_50"
"16","Ethiopia","ETH","all_10_14_cov_60","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","60%","./input/country_select/all_uses_10_14/all_10_14_cov_60"
"17","Ethiopia","ETH","all_10_14_cov_70","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","70%","./input/country_select/all_uses_10_14/all_10_14_cov_70"
"18","Ethiopia","ETH","all_10_14_cov_80","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","80%","./input/country_select/all_uses_10_14/all_10_14_cov_80"
"19","Ethiopia","ETH","all_10_14_cov_90","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","90%","./input/country_select/all_uses_10_14/all_10_14_cov_90"
"20","Ethiopia","ETH","all_10_14_cov_95","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","95%","./input/country_select/all_uses_10_14/all_10_14_cov_95"
"21","Ethiopia","ETH","all_10_14_cov_curr","Ethiopia_MS.csv","RV_10/14","RV_10/14","MS","current_coverage","./input/country_select/all_uses_10_14/all_10_14_cov_curr"
"22","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_50","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","50%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_50"
"23","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_60","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","60%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_60"
"24","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_70","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","70%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_70"
"25","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_80","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","80%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_80"
"26","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_90","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","90%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_90"
"27","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_95","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","95%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_95"
"28","Ethiopia","ETH","all_uses_2_dose_plus_40_cov_curr","Ethiopia_MS.csv","RV_6/10/40","RV_6/10/40","MS","current_coverage","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_curr"
"29","Ethiopia","ETH","all_6_10_cov_50","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10/all_6_10_cov_50"
"30","Ethiopia","ETH","all_6_10_cov_60","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10/all_6_10_cov_60"
"31","Ethiopia","ETH","all_6_10_cov_70","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10/all_6_10_cov_70"
"32","Ethiopia","ETH","all_6_10_cov_80","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10/all_6_10_cov_80"
"33","Ethiopia","ETH","all_6_10_cov_90","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10/all_6_10_cov_90"
"34","Ethiopia","ETH","all_6_10_cov_95","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10/all_6_10_cov_95"
"35","Ethiopia","ETH","all_6_10_cov_curr","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10/all_6_10_cov_curr"
"36","Ethiopia","ETH","all_6_10_14_cov_50","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_50"
"37","Ethiopia","ETH","all_6_10_14_cov_60","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_60"
"38","Ethiopia","ETH","all_6_10_14_cov_70","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_70"
"39","Ethiopia","ETH","all_6_10_14_cov_80","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_80"
"40","Ethiopia","ETH","all_6_10_14_cov_90","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_90"
"41","Ethiopia","ETH","all_6_10_14_cov_95","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_95"
"42","Ethiopia","ETH","all_6_10_14_cov_curr","Ethiopia_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_curr"
"43","Ethiopia","ETH","current_cov_50","Ethiopia_MS.csv","Keep_current","N/A","MS","50%","./input/country_select/current_vacc_status/current_cov_50"
"44","Ethiopia","ETH","current_cov_60","Ethiopia_MS.csv","Keep_current","N/A","MS","60%","./input/country_select/current_vacc_status/current_cov_60"
"45","Ethiopia","ETH","current_cov_70","Ethiopia_MS.csv","Keep_current","N/A","MS","70%","./input/country_select/current_vacc_status/current_cov_70"
"46","Ethiopia","ETH","current_cov_80","Ethiopia_MS.csv","Keep_current","N/A","MS","80%","./input/country_select/current_vacc_status/current_cov_80"
"47","Ethiopia","ETH","current_cov_90","Ethiopia_MS.csv","Keep_current","N/A","MS","90%","./input/country_select/current_vacc_status/current_cov_90"
"48","Ethiopia","ETH","current_cov_95","Ethiopia_MS.csv","Keep_current","N/A","MS","95%","./input/country_select/current_vacc_status/current_cov_95"
"49","Ethiopia","ETH","current_cov_curr","Ethiopia_MS.csv","Keep_current","N/A","MS","current_coverage","./input/country_select/current_vacc_status/current_cov_curr"
"50","Ethiopia","ETH","suspend_vac","Ethiopia_MS.csv","N/A","N/A","MS","0%","./input/country_select/suspend_vac"
"51","Ghana","GHA","all_1_10_14_cov_50","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","50%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_50"
"52","Ghana","GHA","all_1_10_14_cov_60","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","60%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_60"
"53","Ghana","GHA","all_1_10_14_cov_70","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","70%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_70"
"54","Ghana","GHA","all_1_10_14_cov_80","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","80%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_80"
"55","Ghana","GHA","all_1_10_14_cov_90","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","90%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_90"
"56","Ghana","GHA","all_1_10_14_cov_95","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","95%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_95"
"57","Ghana","GHA","all_1_10_14_cov_curr","Ghana_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","current_coverage","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_curr"
"58","Ghana","GHA","all_1_6_10_cov_50","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","50%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_50"
"59","Ghana","GHA","all_1_6_10_cov_60","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","60%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_60"
"60","Ghana","GHA","all_1_6_10_cov_70","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","70%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_70"
"61","Ghana","GHA","all_1_6_10_cov_80","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","80%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_80"
"62","Ghana","GHA","all_1_6_10_cov_90","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","90%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_90"
"63","Ghana","GHA","all_1_6_10_cov_95","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","95%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_95"
"64","Ghana","GHA","all_1_6_10_cov_curr","Ghana_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","current_coverage","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_curr"
"65","Ghana","GHA","all_10_14_cov_50","Ghana_MS.csv","RV_10/14","RV_10/14","MS","50%","./input/country_select/all_uses_10_14/all_10_14_cov_50"
"66","Ghana","GHA","all_10_14_cov_60","Ghana_MS.csv","RV_10/14","RV_10/14","MS","60%","./input/country_select/all_uses_10_14/all_10_14_cov_60"
"67","Ghana","GHA","all_10_14_cov_70","Ghana_MS.csv","RV_10/14","RV_10/14","MS","70%","./input/country_select/all_uses_10_14/all_10_14_cov_70"
"68","Ghana","GHA","all_10_14_cov_80","Ghana_MS.csv","RV_10/14","RV_10/14","MS","80%","./input/country_select/all_uses_10_14/all_10_14_cov_80"
"69","Ghana","GHA","all_10_14_cov_90","Ghana_MS.csv","RV_10/14","RV_10/14","MS","90%","./input/country_select/all_uses_10_14/all_10_14_cov_90"
"70","Ghana","GHA","all_10_14_cov_95","Ghana_MS.csv","RV_10/14","RV_10/14","MS","95%","./input/country_select/all_uses_10_14/all_10_14_cov_95"
"71","Ghana","GHA","all_10_14_cov_curr","Ghana_MS.csv","RV_10/14","RV_10/14","MS","current_coverage","./input/country_select/all_uses_10_14/all_10_14_cov_curr"
"72","Ghana","GHA","all_uses_2_dose_plus_40_cov_50","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","50%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_50"
"73","Ghana","GHA","all_uses_2_dose_plus_40_cov_60","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","60%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_60"
"74","Ghana","GHA","all_uses_2_dose_plus_40_cov_70","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","70%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_70"
"75","Ghana","GHA","all_uses_2_dose_plus_40_cov_80","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","80%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_80"
"76","Ghana","GHA","all_uses_2_dose_plus_40_cov_90","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","90%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_90"
"77","Ghana","GHA","all_uses_2_dose_plus_40_cov_95","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","95%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_95"
"78","Ghana","GHA","all_uses_2_dose_plus_40_cov_curr","Ghana_MS.csv","RV_6/10/40","RV_6/10/40","MS","current_coverage","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_curr"
"79","Ghana","GHA","all_6_10_cov_50","Ghana_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10/all_6_10_cov_50"
"80","Ghana","GHA","all_6_10_cov_60","Ghana_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10/all_6_10_cov_60"
"81","Ghana","GHA","all_6_10_cov_70","Ghana_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10/all_6_10_cov_70"
"82","Ghana","GHA","all_6_10_cov_80","Ghana_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10/all_6_10_cov_80"
"83","Ghana","GHA","all_6_10_cov_90","Ghana_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10/all_6_10_cov_90"
"84","Ghana","GHA","all_6_10_cov_95","Ghana_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10/all_6_10_cov_95"
"85","Ghana","GHA","all_6_10_cov_curr","Ghana_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10/all_6_10_cov_curr"
"86","Ghana","GHA","all_6_10_14_cov_50","Ghana_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_50"
"87","Ghana","GHA","all_6_10_14_cov_60","Ghana_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_60"
"88","Ghana","GHA","all_6_10_14_cov_70","Ghana_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_70"
"89","Ghana","GHA","all_6_10_14_cov_80","Ghana_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_80"
"90","Ghana","GHA","all_6_10_14_cov_90","Ghana_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_90"
"91","Ghana","GHA","all_6_10_14_cov_95","Ghana_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_95"
"92","Ghana","GHA","all_6_10_14_cov_curr","Ghana_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_curr"
"93","Ghana","GHA","current_cov_50","Ghana_MS.csv","Keep_current","N/A","MS","50%","./input/country_select/current_vacc_status/current_cov_50"
"94","Ghana","GHA","current_cov_60","Ghana_MS.csv","Keep_current","N/A","MS","60%","./input/country_select/current_vacc_status/current_cov_60"
"95","Ghana","GHA","current_cov_70","Ghana_MS.csv","Keep_current","N/A","MS","70%","./input/country_select/current_vacc_status/current_cov_70"
"96","Ghana","GHA","current_cov_80","Ghana_MS.csv","Keep_current","N/A","MS","80%","./input/country_select/current_vacc_status/current_cov_80"
"97","Ghana","GHA","current_cov_90","Ghana_MS.csv","Keep_current","N/A","MS","90%","./input/country_select/current_vacc_status/current_cov_90"
"98","Ghana","GHA","current_cov_95","Ghana_MS.csv","Keep_current","N/A","MS","95%","./input/country_select/current_vacc_status/current_cov_95"
"99","Ghana","GHA","current_cov_curr","Ghana_MS.csv","Keep_current","N/A","MS","current_coverage","./input/country_select/current_vacc_status/current_cov_curr"
"100","Ghana","GHA","suspend_vac","Ghana_MS.csv","N/A","N/A","MS","0%","./input/country_select/suspend_vac"
"101","Kenya","KEN","all_1_10_14_cov_50","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","50%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_50"
"102","Kenya","KEN","all_1_10_14_cov_60","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","60%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_60"
"103","Kenya","KEN","all_1_10_14_cov_70","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","70%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_70"
"104","Kenya","KEN","all_1_10_14_cov_80","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","80%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_80"
"105","Kenya","KEN","all_1_10_14_cov_90","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","90%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_90"
"106","Kenya","KEN","all_1_10_14_cov_95","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","95%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_95"
"107","Kenya","KEN","all_1_10_14_cov_curr","Kenya_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","current_coverage","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_curr"
"108","Kenya","KEN","all_1_6_10_cov_50","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","50%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_50"
"109","Kenya","KEN","all_1_6_10_cov_60","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","60%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_60"
"110","Kenya","KEN","all_1_6_10_cov_70","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","70%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_70"
"111","Kenya","KEN","all_1_6_10_cov_80","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","80%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_80"
"112","Kenya","KEN","all_1_6_10_cov_90","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","90%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_90"
"113","Kenya","KEN","all_1_6_10_cov_95","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","95%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_95"
"114","Kenya","KEN","all_1_6_10_cov_curr","Kenya_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","current_coverage","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_curr"
"115","Kenya","KEN","all_10_14_cov_50","Kenya_MS.csv","RV_10/14","RV_10/14","MS","50%","./input/country_select/all_uses_10_14/all_10_14_cov_50"
"116","Kenya","KEN","all_10_14_cov_60","Kenya_MS.csv","RV_10/14","RV_10/14","MS","60%","./input/country_select/all_uses_10_14/all_10_14_cov_60"
"117","Kenya","KEN","all_10_14_cov_70","Kenya_MS.csv","RV_10/14","RV_10/14","MS","70%","./input/country_select/all_uses_10_14/all_10_14_cov_70"
"118","Kenya","KEN","all_10_14_cov_80","Kenya_MS.csv","RV_10/14","RV_10/14","MS","80%","./input/country_select/all_uses_10_14/all_10_14_cov_80"
"119","Kenya","KEN","all_10_14_cov_90","Kenya_MS.csv","RV_10/14","RV_10/14","MS","90%","./input/country_select/all_uses_10_14/all_10_14_cov_90"
"120","Kenya","KEN","all_10_14_cov_95","Kenya_MS.csv","RV_10/14","RV_10/14","MS","95%","./input/country_select/all_uses_10_14/all_10_14_cov_95"
"121","Kenya","KEN","all_10_14_cov_curr","Kenya_MS.csv","RV_10/14","RV_10/14","MS","current_coverage","./input/country_select/all_uses_10_14/all_10_14_cov_curr"
"122","Kenya","KEN","all_uses_2_dose_plus_40_cov_50","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","50%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_50"
"123","Kenya","KEN","all_uses_2_dose_plus_40_cov_60","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","60%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_60"
"124","Kenya","KEN","all_uses_2_dose_plus_40_cov_70","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","70%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_70"
"125","Kenya","KEN","all_uses_2_dose_plus_40_cov_80","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","80%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_80"
"126","Kenya","KEN","all_uses_2_dose_plus_40_cov_90","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","90%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_90"
"127","Kenya","KEN","all_uses_2_dose_plus_40_cov_95","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","95%","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_95"
"128","Kenya","KEN","all_uses_2_dose_plus_40_cov_curr","Kenya_MS.csv","RV_6/10/40","RV_6/10/40","MS","current_coverage","./input/country_select/all_uses_2_dose_plus_40/all_uses_2_dose_plus_40_cov_curr"
"129","Kenya","KEN","all_6_10_cov_50","Kenya_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10/all_6_10_cov_50"
"130","Kenya","KEN","all_6_10_cov_60","Kenya_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10/all_6_10_cov_60"
"131","Kenya","KEN","all_6_10_cov_70","Kenya_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10/all_6_10_cov_70"
"132","Kenya","KEN","all_6_10_cov_80","Kenya_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10/all_6_10_cov_80"
"133","Kenya","KEN","all_6_10_cov_90","Kenya_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10/all_6_10_cov_90"
"134","Kenya","KEN","all_6_10_cov_95","Kenya_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10/all_6_10_cov_95"
"135","Kenya","KEN","all_6_10_cov_curr","Kenya_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10/all_6_10_cov_curr"
"136","Kenya","KEN","all_6_10_14_cov_50","Kenya_MS.csv","RV_6/10","RV_6/10","MS","50%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_50"
"137","Kenya","KEN","all_6_10_14_cov_60","Kenya_MS.csv","RV_6/10","RV_6/10","MS","60%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_60"
"138","Kenya","KEN","all_6_10_14_cov_70","Kenya_MS.csv","RV_6/10","RV_6/10","MS","70%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_70"
"139","Kenya","KEN","all_6_10_14_cov_80","Kenya_MS.csv","RV_6/10","RV_6/10","MS","80%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_80"
"140","Kenya","KEN","all_6_10_14_cov_90","Kenya_MS.csv","RV_6/10","RV_6/10","MS","90%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_90"
"141","Kenya","KEN","all_6_10_14_cov_95","Kenya_MS.csv","RV_6/10","RV_6/10","MS","95%","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_95"
"142","Kenya","KEN","all_6_10_14_cov_curr","Kenya_MS.csv","RV_6/10","RV_6/10","MS","current_coverage","./input/country_select/all_uses_6_10_14/all_6_10_14_cov_curr"
"143","Kenya","KEN","current_cov_50","Kenya_MS.csv","Keep_current","N/A","MS","50%","./input/country_select/current_vacc_status/current_cov_50"
"144","Kenya","KEN","current_cov_60","Kenya_MS.csv","Keep_current","N/A","MS","60%","./input/country_select/current_vacc_status/current_cov_60"
"145","Kenya","KEN","current_cov_70","Kenya_MS.csv","Keep_current","N/A","MS","70%","./input/country_select/current_vacc_status/current_cov_70"
"146","Kenya","KEN","current_cov_80","Kenya_MS.csv","Keep_current","N/A","MS","80%","./input/country_select/current_vacc_status/current_cov_80"
"147","Kenya","KEN","current_cov_90","Kenya_MS.csv","Keep_current","N/A","MS","90%","./input/country_select/current_vacc_status/current_cov_90"
"148","Kenya","KEN","current_cov_95","Kenya_MS.csv","Keep_current","N/A","MS","95%","./input/country_select/current_vacc_status/current_cov_95"
"149","Kenya","KEN","current_cov_curr","Kenya_MS.csv","Keep_current","N/A","MS","current_coverage","./input/country_select/current_vacc_status/current_cov_curr"
"150","Kenya","KEN","suspend_vac","Kenya_MS.csv","N/A","N/A","MS","0%","./input/country_select/suspend_vac"
"151","Malawi","MWI","all_1_10_14_cov_50","Malawi_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","50%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_50"
"152","Malawi","MWI","all_1_10_14_cov_60","Malawi_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","60%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_60"
